Area_Name,Year,type_of_motive,freq
Andaman & Nicobar Islands,2010,CHNAMurder_Cause_By_TerroristExtremist,0
Andaman & Nicobar Islands,2008,CHNAMurder_Cause_Class_Conflict,0
Andaman & Nicobar Islands,2002,Murder_Cause_Class_Conflict,4
Andaman & Nicobar Islands,2006,Murder_Cause_By_TerroristExtremist,0
Andaman & Nicobar Islands,2007,CHNAMurder_Cause_Dowry,0
Andaman & Nicobar Islands,2008,CHNAMurder_Cause_Gain,0
Andaman & Nicobar Islands,2006,CHNAMurder_Cause_Communalism,0
Andaman & Nicobar Islands,2003,CHNAMurder_Cause_Personal_Vendetta_or_Enmity,0
Andaman & Nicobar Islands,2008,Murder_Cause_Witchcraft,0
Andaman & Nicobar Islands,2009,CHNAMurder_Cause_Love_AffairsSexual_Relations,0
Andaman & Nicobar Islands,2003,Murder_Cause_Lunacy,1
Andaman & Nicobar Islands,2002,CHNAMurder_Cause_Personal_Vendetta_or_Enmity,0
Andaman & Nicobar Islands,2006,CHNAMurder_Cause_Property_Dispute,0
Andaman & Nicobar Islands,2007,CHNAMurder_Cause_By_TerroristExtremist,0
Andaman & Nicobar Islands,2005,Murder_Cause_By_TerroristExtremist,0
Andaman & Nicobar Islands,2004,Murder_Cause_Dowry,1
Andaman & Nicobar Islands,2004,Murder_Cause_Personal_Vendetta_or_Enmity,5
Andaman & Nicobar Islands,2003,Murder_Cause_Class_Conflict,3
Andaman & Nicobar Islands,2009,Murder_Cause_Witchcraft,0
Andaman & Nicobar Islands,2001,Murder_Cause_Class_Conflict,0
Andaman & Nicobar Islands,2010,Murder_Cause_Love_AffairsSexual_Relations,1
Andaman & Nicobar Islands,2003,CHNAMurder_Cause_Class_Conflict,1
Andaman & Nicobar Islands,2001,CHNAMurder_Cause_Gain,0
Andaman & Nicobar Islands,2005,CHNAMurder_Cause_Lunacy,0
Andaman & Nicobar Islands,2007,Murder_Cause_Property_Dispute,0
Andaman & Nicobar Islands,2004,CHNAMurder_Cause_Personal_Vendetta_or_Enmity,0
Andaman & Nicobar Islands,2008,CHNAMurder_Cause_By_TerroristExtremist,0
Andaman & Nicobar Islands,2010,Murder_Cause_Gain,0
Andaman & Nicobar Islands,2004,Murder_Cause_Gain,0
Andaman & Nicobar Islands,2005,CHNAMurder_Cause_Property_Dispute,0
Andaman & Nicobar Islands,2010,CHNAMurder_Cause_For_Political_reason,0
Andaman & Nicobar Islands,2003,Murder_Cause_Other_Causes_or_Motives,7
