Area_Name,Year,Group_Name,Victim_Age_Group,freq
Andaman & Nicobar Islands,2001,Murder - Female Victims,Victims_Above_50_Yrs,0.0
Andaman & Nicobar Islands,2009,Murder - Female Victims,Victims_Upto_18_30_Yrs,3.0
Andaman & Nicobar Islands,2008,Murder - Female Victims,Victims_Upto_18_30_Yrs,0.0
Andaman & Nicobar Islands,2003,Murder - Male Victims,Victims_Above_50_Yrs,1.0
Andaman & Nicobar Islands,2007,Murder - Female Victims,Victims_Upto_18_30_Yrs,3.0
Andaman & Nicobar Islands,2006,Murder - Female Victims,Victims_Upto_18_30_Yrs,0.0
Andaman & Nicobar Islands,2004,Murder - Male Victims,Victims_Above_50_Yrs,2.0
Andaman & Nicobar Islands,2005,Murder - Female Victims,Victims_Upto_18_30_Yrs,1.0
Andaman & Nicobar Islands,2004,Murder - Female Victims,Victims_Upto_18_30_Yrs,0.0
Andaman & Nicobar Islands,2003,Murder - Female Victims,Victims_Upto_18_30_Yrs,2.0
Andaman & Nicobar Islands,2005,Murder - Male Victims,Victims_Above_50_Yrs,1.0
Andaman & Nicobar Islands,2002,Murder - Female Victims,Victims_Upto_18_30_Yrs,2.0
Andaman & Nicobar Islands,2001,Murder - Female Victims,Victims_Upto_18_30_Yrs,4.0
Andaman & Nicobar Islands,2006,Murder - Male Victims,Victims_Above_50_Yrs,2.0
Andaman & Nicobar Islands,2010,Murder - Male Victims,Victims_Upto_15_18_Yrs,0.0
Andaman & Nicobar Islands,2009,Murder - Male Victims,Victims_Upto_15_18_Yrs,0.0
Andaman & Nicobar Islands,2008,Murder - Male Victims,Victims_Upto_15_18_Yrs,0.0
Andaman & Nicobar Islands,2007,Murder - Male Victims,Victims_Above_50_Yrs,2.0
Andaman & Nicobar Islands,2007,Murder - Male Victims,Victims_Upto_15_18_Yrs,0.0
Andaman & Nicobar Islands,2006,Murder - Male Victims,Victims_Upto_15_18_Yrs,0.0
Andaman & Nicobar Islands,2008,Murder - Male Victims,Victims_Above_50_Yrs,2.0
